country ,Export
Saudi Arabia ,6227
Russia ,4510
Iraq ,3440
Canada ,3195
United States ,2980
United Arab Emirates ,2305
Kuwait ,1740
Nigeria ,1592
Norway ,1563
Kazakhstan ,1323
Brazil ,1292
Mexico ,1091
Libya ,1091
Angola ,1080
Oman ,897
Iran ,763
United Kingdom ,604
Azerbaijan ,483
Qatar ,458
Venezuela ,448
Algeria ,446
Colombia ,442
Ecuador ,349
Australia ,254
Congo ,251
Syria ,250
Malaysia ,209
Gabon ,181
Bahrain ,152
Sudan ,138
Indonesia ,117
Egypt ,110
Cameroon ,99
Equatorial Guinea ,93
Brunei ,69
Vietnam ,68
Trinidad and Tobago ,59
China ,53
India ,0
Total,40421
