country,2021
China,10301
United States,6110
India,4244
South Korea,2613
Japan,2493
Germany,1645
Italy,1145
Spain,1134
Netherlands,1060
Thailand,863
Singapore,793
United Kingdom,727
France,683
Canada,661
Turkey,634
Belgium,579
Latin America,554
Greece,461
Sweden,364
Belarus,342
South Africa,220
Indonesia,206
Australia,197
United Arab Emirates,187
Bahrain,183
Brazil,166
Chile,164
Egypt,162
Romania,140
Malaysia,131
Philippines,101
Bulgaria,91
Croatia,48
Ukraine,32
Ecuador,16
Venezuela,6
Trinidad & Tobago,0
IR Iran,0
Iraq,0
Kuwait,0
Qatar,0
Saudi Arabia,0
Algeria,0
Angola,0
Congo,0
Eqautorial Guinea,0
Gabon,0
Libya,0
Morocco,0
Nigeria,0
Russia,0
