Country,Year_21
United States,17755
China,16462
Russia,7105
India,4836
South Korea,3518
Japan,3482
Saudi Arabia,3327
Brazil,2289
Venezuela,2276
Iran,2202
Germany,2051
Canada,2046
Italy,1900
Singapore,1453
Mexico,1615
Spain,1562
Netherlands,1292
Indonesia,1272
United Arab Emirates,1272
France,1151
Thailand,1250
United Kingdom,1173
Malaysia,955
Egypt,833
Iraq,1116
Kuwait,800
Turkey,784
Belgium,669
Algeria,677
Argentina,661
Libya,634
Poland,581
South Africa,520
Belarus,505
Australia,227
Nigeria,486
Qatar,430
Kazakhstan,425
Colombia,415
Pakistan,368
Vietnam,367
Philippines,276
Romania,256
Turkmenistan,237
Chile,220
Bulgaria,195
Ecuador,188
Ukraine,158
New Zealand,136
Azerbaijan,120
Croatia,90
Angola,80
Gabon,25
Congo,21
,
,
,
"Table 4.2: World refinery capacity1 by country (1,000 b/cd)",
